time_s,desired_deg,actual_deg,error_deg
1.6635210079984972,6.067633897728801,5.582417582417582,0.4852163153112192
1.7138777849977487,6.113949610162461,5.582417582417582,0.5315320277448787
1.7642143970006146,6.157604274029053,5.582417582417582,0.5751866916114707
1.8145787820030819,6.198595150845346,5.582417582417582,0.6161775684277639
1.864915550002479,6.236836150988921,5.582417582417582,0.6544185685713391
1.915081953004119,6.272196877594233,5.582417582417582,0.6897792951766508
1.965467214002274,6.304912239206116,5.582417582417582,0.722494656788534
2.0160163340042345,6.334881640482848,5.670329670329671,0.6645519701531777
2.066541995998705,6.361951968254582,5.934065934065934,0.42788603418864746
2.11697182199714,6.386067464161739,5.934065934065934,0.4520015300958047
2.1675075050006853,6.407299393350898,5.934065934065934,0.4732334592849634
2.218104828003561,6.4255931446793335,5.934065934065934,0.4915272106133992
2.2685297049974906,6.440855444232503,6.1098901098901095,0.3309653343423937
2.318758319997869,6.453096355262948,6.1098901098901095,0.34320624537283884
2.3690908139979,6.462384940795124,6.1098901098901095,0.3524948309050142
2.4193518000029144,6.468676703925478,6.1098901098901095,0.3587865940353687
2.4696820320023107,6.471983172892378,6.1098901098901095,0.36209306300226807
2.5200503149972064,6.472289411857371,6.1098901098901095,0.3623993019672618
2.5705777580005815,6.4695781956841,6.1098901098901095,0.3596880857939908
2.620905648000189,6.46387509813278,6.1098901098901095,0.35398498824267044
2.671147638000548,6.45519844202003,6.1098901098901095,0.3453083321299202
2.72154583199881,6.443508851367595,6.1098901098901095,0.33361874147748516
2.771934415999567,6.428843458626819,6.1098901098901095,0.31895334873670933
2.8226696659985464,6.411083513731118,6.1098901098901095,0.30119340384100823
2.8732153509990894,6.39042070609896,6.1098901098901095,0.2805305962088509
2.923619355999108,6.3668853561418075,6.1098901098901095,0.256995246251698
2.9741714490010054,6.340365355185844,6.1098901098901095,0.23047524529573415
3.0245108570015873,6.311082070975184,6.1098901098901095,0.2011919610850743
3.074905059998855,6.278922817064101,6.1098901098901095,0.16903270717399188
3.125469163998787,6.243827522284027,6.1098901098901095,0.13393741239391765
3.1761762390015065,6.205824163336583,6.1098901098901095,0.09593405344647365
3.226802757002588,6.165113507120294,6.1098901098901095,0.055223397230184545
3.2772092779996456,6.121873166350433,6.1098901098901095,0.011983056460323382
3.327871141002106,6.075736367928239,6.1098901098901095,-0.03415374196187049
3.3785843340010615,6.02691131923163,6.1098901098901095,-0.0829787906584798
3.429100301997096,5.975697904656073,6.1098901098901095,-0.13419220523403652
3.479560166000738,5.922023977944,6.1098901098901095,-0.18786613194610968
3.5299792700025137,5.8659343504871835,6.1098901098901095,-0.24395575940292602
3.580347654999059,5.8075029864310945,6.1098901098901095,-0.302387123459015
3.631002002999594,5.746381628923781,6.1098901098901095,-0.3635084809663285
3.681270494002092,5.683448816071742,6.1098901098901095,-0.4264412938183675
3.7318888340014382,5.617849683649382,6.1098901098901095,-0.4920404262407274
3.7826017160041374,5.549952129832356,6.1098901098901095,-0.5599379800577537
3.8334501900026225,5.479755593955881,6.021978021978022,-0.542222428022141
3.883950609997555,5.408011683538495,6.021978021978022,-0.6139663384395266
3.934623927998473,5.3340636991463555,5.846153846153846,-0.5120901470074903
3.9851165439977194,5.258502486648024,5.758241758241758,-0.4997392715937341
